Data*Wągrowiec - ul. Lipowa (pył zawieszony PM10 [jednostka ug/m3])*Gniezno - ul. Paczkowskiego (pył zawieszony PM10 [jednostka ug/m3])*Kalisz - ul. Wyszyńskiego (pył zawieszony PM10 [jednostka ug/m3])*Leszno - ul. Kiepury (pył zawieszony PM10 [jednostka ug/m3])*Nowy Tomyśl - ul. Sienkiewicza (pył zawieszony PM10 [jednostka ug/m3])*Ostrów Wielkopolski - ul. Wysocka  (pył zawieszony PM10 [jednostka ug/m3])*Pila - ul. Kusocińskiego (pył zawieszony PM10 [jednostka ug/m3])*Pleszew - Al. Mickiewicza (pył zawieszony PM10 [jednostka ug/m3])*Tarnowo Podgórne - ul. Zachodnia (pył zawieszony PM10 [jednostka ug/m3])*Poznań - ul. Szymanowskiego (pył zawieszony PM10 [jednostka ug/m3])
2015-01-01 ,43.9,45.1,56.6,36.3 ,35.4,51.0 ,39.3,
2015-01-02 ,20.2,20.4,17.6,10.8 ,14.6,20.2 ,12.8,
2015-01-03 ,20.7,17.0,18.7,13.6 ,13.9,21.8 ,14.5,
2015-01-04 ,11.0,14.9,14.3,15.3 ,8.9,20.6 ,11.1,
2015-01-05  ,23.4,23.6,44.3 ,16.0,40.1 ,18.2,
2015-01-06 ,29.1,37.1,47.2,52.6 ,28.8,47.2 ,27.3,
2015-01-07 ,56.8,50.3,59.8,54.0 ,53.7,46.6 ,52.6,
2015-01-08,41.7,43.6,44.4,28.3,27.8 ,31.5,56.5 ,33.7,
2015-01-09,16.9,20.3,14.7,14.2,11.7 ,13.1,14.6 ,13.5,
2015-01-10,18.8,17.5,11.6,12.9,9.4 ,13.4,18.0 ,12.1,
2015-01-11,16.8,17.1,15.6,16.1,11.9 ,9.9,14.3 ,12.9,
2015-01-12,15.7,19.6,12.6,15.2,9.3 ,12.4,14.2 ,13.8,
2015-01-13,15.1,16.3,14.5,32.5,11.8,13.2,12.5,27.9 ,12.6,
2015-01-14,20.7,27.3,21.4,18.3,15.6,27.0,18.1,25.5,12.7,19.6,
2015-01-15,22.8,79.8,22.8,11.5,18.6,15.3,18.6,43.5,15.6,20.6,
2015-01-16,51.1,48.2,39.4,25.7,47.1,34.0,32.0,69.6,35.3,41.2,
2015-01-17,56.2,58.2,49.8,64.8,60.0,49.6,47.5,85.4,42.8,48.7,
2015-01-18,50.1,96.4,83.2,44.2,48.0,63.8,36.9,63.2,43.2,58.9,
2015-01-19,61.8,65.1,64.8,42.4,57.4,38.8,76.0,68.3,46.8,50.1,
2015-01-20,57.0,53.8,54.2,51.1,65.9 ,43.8,71.0,53.6,47.7,
2015-01-21,72.3,59.4,67.7,50.7,57.0,71.2,49.0 ,57.8,48.3,
2015-01-22 ,69.8,62.5,70.9,111.3,65.2,30.6 ,60.5,57.5,
2015-01-23,62.9,49.1,53.3,62.9,75.3,64.1,27.9 ,41.1,42.7,
2015-01-24,85.8,54.2,40.4,51.1,48.3,50.3,49.2 ,44.9,52.5,
2015-01-25,30.9,40.9,49.7,40.0,40.0,58.2,40.8  ,38.9,
2015-01-26,32.1,38.0,37.0,24.2,27.4,37.8,26.0  ,32.3,
2015-01-27,18.5,33.5,28.9,24.1,19.8,34.2,21.6,96.7 ,19.5,
2015-01-28,25.6,28.5,23.3,21.2,20.0,25.5,19.8,25.0 ,24.7,
2015-01-29,28.6,28.9,23.7,16.0,16.7,22.4,18.8,40.0,14.0,21.1,
2015-01-30,37.4,48.3,40.9,25.6,32.8,37.8,34.7,46.7,26.1,32.9,
2015-01-31,28.0,38.2,29.7,28.2,25.4,29.0,35.0,49.0,18.0,24.9,
2015-02-01,36.2,90.1,44.5,30.1,36.8,41.7,34.5 ,30.3,39.0,
2015-02-02,31.5,110.7,54.0,50.3,33.4,57.8,27.3 ,29.5,35.4,
2015-02-03,29.5,39.4,37.9,28.6,27.8,42.3,29.5,37.6,24.5,31.2,
2015-02-04,75.0,57.6,47.3,39.7,48.9,68.0,55.4,70.5,33.4,36.1,
2015-02-05 ,42.9,83.0,54.3,109.8,98.0,66.2,106.8,50.8,49.0,
2015-02-06,70.5,11.5,48.4,43.8,125.1,60.0,48.4,73.0,55.4,67.9,
2015-02-07,35.2,18.0,46.3,48.9,37.8,52.6,23.6,58.8,31.4,34.7,
2015-02-08,13.7,23.8,15.2,12.0,26.5,26.0,11.8,32.5,8.4,10.7,
2015-02-09,17.2,23.1,22.5,18.7,23.3,35.0,11.3 ,14.1 ,
2015-02-10  ,30.1,21.2,23.2,37.7,10.4,46.9,15.2,11.6,
2015-02-11  ,31.7,21.6,32.8,58.6,11.5,52.6,17.4,15.0,
2015-02-12 ,96.5,48.4,31.8,59.7,54.8,65.0,69.7,62.1,37.3,
2015-02-13,160.9,112.2,54.8,66.6,153.2,49.9,119.0,64.3,105.6,69.5,
2015-02-14,115.1,85.6,58.0,45.2,180.9,61.0,92.7,73.5,113.9,83.0,
2015-02-15,92.7,86.4,97.8,66.8,129.9,91.2,74.1,110.7,79.8 ,
2015-02-16,30.8,32.6 ,38.2,43.7,30.4,20.1,31.5,33.8 ,
2015-02-17,67.2,45.9 ,44.4,93.0,42.3,64.0,39.4,67.8,51.4,
2015-02-18,82.8,86.2,73.4,84.9,70.0,72.3,78.9,82.2,64.1,142.2,
2015-02-19,63.4,72.8,71.3,59.4,63.3,69.6,43.1,78.2,58.5 ,
2015-02-20,75.7,76.9,77.4,49.1,59.8,85.7,69.7,78.8,55.4,66.3,
2015-02-21,60.4,62.8,53.1,41.3,45.4,53.3,49.6,50.0,44.1 ,
2015-02-22,56.7,54.5,86.5,47.9,40.0,105.6,31.3,109.6,30.7 ,
2015-02-23,56.7,71.5,64.5,44.4,51.9,64.5,36.5,64.5,47.8 ,
2015-02-24,63.0,79.8,49.3,30.6,43.8,79.3,38.4,72.3  ,
2015-02-25,126.9,81.3,73.0,58.5,92.6,108.9,106.5,95.1,46.9 ,
2015-02-26,87.5,66.9,80.0,80.8,119.8,85.4,80.5,98.7,59.9 ,
2015-02-27,75.7,80.6,61.7,66.7,95.8,57.0,80.7,69.5,81.3,72.5,
2015-02-28,71.9,77.6,57.1,50.5,67.6,68.0,54.8,64.8,49.9,63.5,
2015-03-01,45.4,51.1,64.0,36.7 ,46.2,45.4,53.0,39.0,41.6,
2015-03-02,24.3 ,25.2,21.4,23.1,28.6,21.1,26.1,16.5,20.4,
2015-03-03,25.9,27.9,24.8,22.9 ,27.7,18.8,27.5,16.0,20.6,
2015-03-04,20.6,22.7,21.5,28.5,48.5,27.8,15.7,30.7,13.3,17.1,
2015-03-05,41.5,25.1,33.6,31.0,36.1,58.7,30.0,55.7,22.1,34.8,
2015-03-06 ,46.5,45.0,64.6,54.4,61.3,57.0,61.0,41.6,71.0,
2015-03-07 ,46.7,47.3,48.0,49.1,50.5,33.5,49.6,35.2,38.6,
2015-03-08 ,38.6,37.1,27.1 ,32.7,29.0,39.2,28.3,37.0,
2015-03-09 ,38.8,51.5,31.8,65.5,88.4,42.6,68.6,32.8,34.4,
2015-03-10,55.5,66.9,130.9,48.9,64.8,187.9,40.4,123.7,44.9,49.2,
2015-03-11,28.2,25.9,38.5,30.6,39.6,51.5,27.3,55.8,25.9,33.0,
2015-03-12,21.5,24.1,38.9,29.6,37.3,52.7,12.6,58.6,19.5,19.4,
2015-03-13,25.2,20.1,27.4,25.2 ,31.8,22.4,35.9,25.1,21.6,
2015-03-14,30.6,24.2,30.6,26.5,75.0,31.2,27.1,31.8,31.5,27.1,
2015-03-15,32.4,23.5,26.3,22.3,37.0,24.9,20.6,23.4,24.8,22.4,
2015-03-16,42.4,37.1,43.2,35.7,46.3,38.5,34.3,39.0,39.8,37.8,
2015-03-17,46.4,36.1,38.2,42.4,48.6,35.6,34.0,39.8,38.6,36.9,
2015-03-18,59.3,41.4,45.8,31.5,52.7,42.5,43.8,44.9,47.3,39.2,
2015-03-19,88.3,97.8,84.2,46.6,125.9,136.8,86.1,97.5,77.5,74.3,
2015-03-20,124.5,108.5,102.6,70.6,149.8,49.8,71.2,111.7,111.0,122.8,
2015-03-21,61.2,67.4,75.5,68.8,75.4,78.7,48.3,85.8,56.3,67.8,
2015-03-22,35.0,20.7,19.6,9.4,60.4,37.3,16.1,24.9,19.9,10.3,
2015-03-23,52.8,66.0,60.9,33.0,61.7,57.6,44.6,76.6,43.2 ,
2015-03-24,92.3,112.1,88.6,45.0,133.6,87.3,92.3 ,78.1,87.1,
2015-03-25,82.9,95.3,72.9,61.8,108.9,84.2,56.7 ,106.0,84.7,
2015-03-26,63.5,63.0,61.4,54.0,53.7,57.7,61.2 ,62.0,52.8,
2015-03-27,46.5,43.8,59.3,42.6,35.5,54.6,37.4 ,39.1,26.3,
