Data*Gniezno - ul. Paczkowskiego (pył zawieszony PM10 [jednostka ug/m3])*Kalisz - ul. Wyszyńskiego (pył zawieszony PM10 [jednostka ug/m3])*Leszno - ul. Kiepury (pył zawieszony PM10 [jednostka ug/m3])*Nowy Tomyśl - ul. Sienkiewicza (pył zawieszony PM10 [jednostka ug/m3])*Ostrów Wielkopolski - ul. Wysocka  (pył zawieszony PM10 [jednostka ug/m3])*Pila - ul. Kusocińskiego (pył zawieszony PM10 [jednostka ug/m3])*Pleszew - Al. Mickiewicza (pył zawieszony PM10 [jednostka ug/m3])*Poznań - ul. Szymanowskiego (pył zawieszony PM10 [jednostka ug/m3])*Tarnowo Podgórne - ul. Zachodnia (pył zawieszony PM10 [jednostka ug/m3])*Wągrowiec - ul. Lipowa (pył zawieszony PM10 [jednostka ug/m3])
2020-02-19,17.0,14.7,12.4,10.9,17.1,15.7,16.4 ,8.6,14.7,
2020-02-20,26.6,23.9,14.7,14.5,23.1,19.9,26.2,15.9,17.5,22.1,
2020-02-21,20.1,22.5,18.4,18.4,23.3,18.0,25.7 ,13.2,18.3,
2020-02-22,16.0,17.7,15.2,11.2,16.6,14.7,18.2,10.8,11.4,15.2,
2020-02-23,14.6,9.4,8.4,19.6,9.8,12.3,14.4 ,7.8,13.6,
2020-02-24,15.9,15.6,11.8,12.1,17.2,13.8,17.3 ,11.6,15.8,
2020-02-25,16.3,12.4,14.1,12.3,16.4,13.8,13.9 ,10.7,14.4,
2020-02-26,21.8,14.9,15.0,13.2,17.6,17.3,18.4 ,12.1,20.7,
2020-02-27,25.0,18.7,14.9,31.8,20.8,23.2,26.3 ,19.4,30.2,
2020-02-28,35.2,30.9,31.5,23.1,36.9,38.3,37.3 ,21.6,34.3,
2020-02-29,21.4,19.9,14.4,17.6,18.2,20.6,19.8 ,15.8,21.0,
2020-03-01,15.4,15.2,11.9,16.4,14.5,13.2,17.7 ,11.2,18.8,
2020-03-02,39.1,31.6,20.6,30.8,31.5,33.4,33.4 ,23.3,38.3,
2020-03-03,40.2,32.2,31.0,26.6,30.4,30.9,41.2,27.9,29.1,36.8,
2020-03-04,28.6,37.1,21.3,27.1,44.8,25.2,37.7,23.5,17.5,36.8,
2020-03-05,42.5,41.1,18.5,32.6,40.6,33.7,36.5,28.3,27.1,47.0,
2020-03-06,43.7,30.6,21.3,28.2,27.6,34.4,30.4,28.7,31.2,34.5,
2020-03-07,19.6,16.5,17.6,13.9,19.7,16.6,22.6,13.1,10.9,17.9,
2020-03-08,25.8,27.0,21.0,21.6,28.5,20.6,34.5,19.8,19.6,25.4,
2020-03-09,52.3,52.5,29.0,28.7,48.1,32.2,53.2,29.1,25.0,34.9,
2020-03-10,19.9,20.1,18.4,13.0,21.3,18.6,18.9,14.2,12.4,21.7,
2020-03-11,15.4,12.9,12.9,13.7,13.7,14.7,15.1,11.5,9.3,22.9,
2020-03-12,12.6,12.2,11.8,9.8,15.1 ,14.2,8.7,7.4,11.6,
2020-03-13,13.1,11.8,12.2,11.0,12.6 ,14.4,10.2,8.5,11.7,
2020-03-14,19.7,22.4,7.8,34.9,30.2 ,38.4,12.1,18.2,35.3,
2020-03-15,25.4,28.5,19.4,23.2,21.4 ,32.9,21.9,22.5,23.1,
2020-03-16,27.2,26.0,21.1,32.4,23.4 ,30.9,27.4,23.5,39.0,
2020-03-17,52.9,56.2,40.3,52.8,71.2 ,55.7,39.9,36.7,47.8,
2020-03-18,43.6,49.0,40.2,42.9,46.6 ,46.9,42.3,32.8,47.7,
2020-03-19,30.1,44.4,31.9,40.8,55.3 ,42.4,28.7,25.1,24.8,
2020-03-20,20.1,32.4,20.3,31.1,35.9 ,41.9,16.1,16.2,18.1,
2020-03-21,9.3,16.3,12.0,41.7,18.5 ,24.5,8.2,9.7,8.7,
2020-03-22,8.1,18.6,11.4,48.8,17.4,8.2,25.1,8.0,10.4,8.7,
2020-03-23,17.9,24.3,12.9,66.5,33.0,28.8,30.7,17.9,31.7,26.0,
2020-03-24,35.5,42.5,23.4,67.8,62.1,43.4,44.1,30.0,40.8,53.2,
2020-03-25,37.5,47.8,34.8,52.6,46.1,46.1,41.3,29.2,36.2,48.3,
2020-03-26,37.6,66.1,38.1,59.4,52.2,40.4,43.3,36.5,44.3 ,
2020-03-27,58.1,77.9,57.8,97.2,74.9,64.4,69.9,56.0,68.2 ,
2020-03-28,60.0,82.5,60.6,88.8,97.1,57.4,96.8,51.4,68.3 ,
2020-03-29,28.7,47.8,33.1,30.9,53.2,19.2,61.7,23.4,22.4 ,
2020-03-30,9.8,13.7,10.4,13.7,30.3,12.2,27.2,12.3,8.8 ,
2020-03-31,12.2,22.0,14.2,19.2,38.2,11.3,26.7,10.9,6.5 ,
2020-04-01,20.2,31.2,24.1,25.3,31.0,14.5,30.4,20.8,14.4 ,
2020-04-02,22.8,40.9,29.0,23.7,48.5,14.8,45.8,20.3,17.6 ,
2020-04-03,20.2,41.0,30.3,21.8,46.4,20.8,39.1,18.7,14.4 ,
2020-04-04,18.6,55.5,26.7,56.8,63.5,33.5,54.3,17.4  ,
2020-04-05,31.4,61.6,24.2,38.7,71.3,23.2,56.1,19.5,25.1 ,
2020-04-06,37.5,38.8,28.0,44.9,35.2,35.7,37.6,27.7,33.2 ,
2020-04-07,33.2,40.0,32.0,38.6,45.0,38.9,43.2,31.8,31.7 ,
2020-04-08,38.4,44.9,28.0,66.8,56.2,45.3,45.8,28.9,35.7 ,
2020-04-09,38.2,41.1,31.9,46.2,41.6,41.0,37.9,36.3,34.0 ,
2020-04-10,18.3,33.2,16.5,52.6,63.6,19.8,40.1,17.6,20.8,16.8,
2020-04-11,24.1,36.1,23.2,37.6,67.8,22.4,37.4,16.7,25.3,24.7,
2020-04-12,26.8,26.8,23.3,27.5,27.1,26.6,27.1,19.6,20.2,27.0,
2020-04-13,15.7,21.3,15.8,19.5,21.8,19.5,21.4,12.7,12.6,18.7,
2020-04-14,11.1,18.0,15.1,13.8,21.1,13.8,21.8  ,12.3,
2020-04-15,21.8,31.0,24.0,21.2,31.3,23.2,30.9,21.5,17.9,25.2,
2020-04-16,17.8,38.4,27.1,24.8,43.7,21.4,39.4,19.0,17.9,21.4,
2020-04-17,13.8,23.9,20.1,32.9,44.6,17.3,31.4,15.4,16.9,16.6,
2020-04-18,11.2,20.8,16.8,23.7,33.0,11.4,20.8,10.3,13.3,16.8,
2020-04-19,9.1,16.0,12.2,26.3,24.1,8.8,18.3,9.2,11.0,10.9,
2020-04-20,10.6,21.1,12.7,27.3,31.4,12.3,21.4,12.2,14.6,15.3,
2020-04-21,15.2,25.4,20.0,42.4,51.6,17.4,31.7,15.3,20.5,17.6,
2020-04-22,16.0,36.2,20.9,46.4,56.1,26.1,43.4,16.8,22.5,26.0,
2020-04-23,17.2,40.7,22.4,55.8,56.9,22.8,44.4,21.3,22.4,21.2,
2020-04-24,32.2,43.9,31.3,39.9,42.0,37.2,33.4,32.5,28.6,31.9,
2020-04-25,17.5,26.3,17.3,19.1,31.2,15.3,31.2,13.6,12.3,16.3,
2020-04-26,15.9,20.5,11.5,24.4,25.8,16.1,24.4,14.2,11.1,23.4,
2020-04-27,29.0,29.1,17.2,39.3,22.3,33.3,27.9,26.3,22.3,35.3,
2020-04-28,30.5,29.7,25.1,31.5,32.5,32.6,29.3,31.8,27.7,29.4,
2020-04-29,17.8,36.0,32.5,28.6,39.6,12.3,35.1,18.3,18.9,17.6,
2020-04-30,25.1,22.6,22.3 ,22.7,27.7,24.4,21.9,23.0,24.7,
2020-05-01,18.5,16.7,10.1,12.1,15.7,15.6,17.6,14.9,15.8,16.7,
2020-05-02,12.4,13.7,9.7,10.1,13.3,13.3,14.9,10.6,10.1,14.2,
2020-05-03,13.6,16.4,10.4,13.3,18.5,14.4,18.7,14.7,12.5,19.6,
2020-05-04,19.1,22.4,14.9,17.0,20.7,14.9,20.5,19.7,15.5,19.4,
2020-05-05,8.2,9.2,9.6,10.0,11.9,8.0,13.9,8.6,8.0,7.9,
2020-05-06,11.0,14.1,12.0,10.3,18.7,10.9,19.0,9.7,8.7,11.2,
2020-05-07,13.6,20.2,16.8,16.7,23.5,15.4,24.1,16.8,16.2,19.3,
2020-05-08,18.9,27.0,22.3,23.9,41.7,18.5,31.2,20.1,21.5 ,
2020-05-09,19.9,27.9,15.3,37.5,56.3,20.2,28.2,16.9,24.6,9.3,
2020-05-10,21.6,24.5,22.8,22.4,26.0,22.3,26.9,21.0,22.6,28.8,
2020-05-11,14.1,23.8,16.2,13.4,22.0,12.9,29.0,13.2,12.4,11.3,
2020-05-12,10.4,10.3,11.0,9.6,10.9,10.0,11.3,10.3,7.3,17.7,
2020-05-13,14.9,21.7,15.5,19.1,25.6,12.0,22.0,14.3,14.4,10.6,
2020-05-14,15.0,25.5,18.4,20.3,33.1,11.4,33.6,11.8,13.4,13.1,
2020-05-15,12.4,23.2,14.7,21.8,32.8,18.9,29.7,14.3,15.1,15.6,
2020-05-16,13.0,23.0,14.5,16.1,28.6,13.8,21.4,14.1,11.3,28.6,
2020-05-17,13.2,22.5,15.1,14.8,26.3,11.3,18.8,12.9,11.8,20.6,
2020-05-18,16.1,19.9,16.7,15.8,26.0,15.8,20.4,15.6,14.5,8.7,
