Data*Pila - ul. Kusocińskiego (pył zawieszony PM10 [jednostka ug/m3])*Tarnowo Podgórne - ul. Zachodnia (pył zawieszony PM10 [jednostka ug/m3])
2010-06-28,17.3,32.1,
2010-06-29,33.8,31.6,
2010-06-30 ,32.2,
2010-07-01,18.6,23.5,
2010-07-02,18.1,17.9,
2010-07-03,17.8,21.9,
2010-07-04,13.2,20.9,
2010-07-05,15.0,23.6,
2010-07-06,19.4,14.1,
2010-07-07 ,9.1,
2010-07-08 ,15.7,
2010-07-09 ,25.9,
2010-07-10 ,28.7,
2010-07-11 ,21.4,
2010-07-12 ,25.0,
2010-07-13,28.1,28.1,
2010-07-14,15.8,21.0,
2010-07-15 ,24.8,
2010-07-16,17.8,26.3,
2010-07-17,22.5,28.1,
2010-07-18,12.1,15.9,
2010-07-19,10.7,14.7,
2010-07-20,16.7,24.6,
2010-07-21,24.8,28.9,
2010-07-22,24.1,36.2,
2010-07-23,10.4,17.7,
2010-07-24,3.0,7.2,
2010-07-25,10.0,16.9,
2010-07-26,10.7,14.3,
2010-07-27,10.4,18.5,
2010-07-28,11.7,21.4,
2010-07-29,14.1,18.9,
2010-07-30,17.7,19.9,
2010-07-31,18.1,24.4,
2010-08-01,22.6,28.4,
2010-08-02,20.9,29.0,
2010-08-03,14.1,19.6,
2010-08-04,15.0,22.8,
2010-08-05,21.2,29.4,
2010-08-06,14.4,24.8,
2010-08-07,9.6,17.4,
2010-08-08,10.1,12.1,
2010-08-09,18.5,23.0,
2010-08-10,16.0,22.0,
2010-08-11,31.2,33.6,
2010-08-12,25.5,35.5,
2010-08-13,24.7,18.7,
2010-08-14,15.7,19.3,
2010-08-15,20.5,20.3,
2010-08-16,19.3,20.1,
2010-08-17,11.8,10.1,
2010-08-18,12.8,8.8,
2010-08-19,13.2,11.3,
2010-08-20,18.1,15.5,
2010-08-21,25.1 ,
2010-08-22,22.3 ,
2010-08-23,17.8 ,
2010-08-24,12.4 ,
2010-08-25,13.6 ,
2010-08-26,18.9 ,
2010-08-27,14.1 ,
2010-08-28,9.3 ,
2010-08-29,10.7 ,
2010-08-30,10.0 ,
2010-08-31,9.5 ,
2010-09-01,9.2,11.4,
2010-09-02,12.4,10.6,
2010-09-03,21.0,15.1,
2010-09-04,13.7,25.2,
2010-09-05,10.8,9.4,
2010-09-06,11.1,11.6,
2010-09-07,13.7,20.0,
2010-09-08,16.8,23.0,
2010-09-09,18.5,26.8,
2010-09-10,22.8,27.1,
2010-09-11,29.7,36.4,
2010-09-12,25.0,36.0,
2010-09-13,20.2,36.8,
2010-09-14,8.6,13.9,
2010-09-15,13.9,13.7,
2010-09-16,16.1,9.8,
2010-09-17,14.9,12.4,
2010-09-18,14.2,12.1,
2010-09-19,14.6,12.4,
2010-09-20,24.0,25.6,
2010-09-21,18.1,17.2,
2010-09-22,34.6,26.9,
2010-09-23,39.5,43.9,
2010-09-24,41.4,37.2,
2010-09-25,46.3,43.2,
2010-09-26,43.7,51.4,
2010-09-27,20.3,23.6,
2010-09-28,13.9 ,
2010-09-29,19.2 ,
2010-09-30 ,34.1,
2010-10-01,22.4,11.0,
2010-10-02,21.9,30.1,
2010-10-03,18.9,24.7,
2010-10-04,20.9,23.2,
2010-10-05,26.2,30.1,
2010-10-06,25.9,34.7,
2010-10-07,38.7,41.0,
2010-10-08,42.8,45.9,
2010-10-09,33.6,56.3,
2010-10-10,37.6,51.9,
2010-10-11,60.2,38.3,
2010-10-12,26.4,40.5,
2010-10-13,36.6,40.9,
2010-10-14,25.8,31.0,
2010-10-15,28.5,34.0,
2010-10-16,12.6,40.2,
2010-10-17,29.5,36.9,
2010-10-18 ,52.6,
2010-10-19 ,59.5,
2010-10-20,25.4,22.7,
2010-10-21,42.0,10.2,
2010-10-22,21.9,21.2,
2010-10-23,32.6,37.0,
2010-10-24,16.7,17.8,
2010-10-25,16.6,12.2,
2010-10-26,21.5,13.5,
2010-10-27,38.1,31.3,
2010-10-28,29.1,29.8,
2010-10-29,50.3,50.7,
2010-10-30,58.0,51.6,
2010-10-31,75.4,90.1,
2010-11-01 ,62.4,
2010-11-02 ,69.5,
